Time,Pack Amperage (Current)
Thu Oct 17 18:27:52 CST 2024,0.400000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,0.500000
Thu Oct 17 18:27:52 CST 2024,1.700000
Thu Oct 17 18:27:53 CST 2024,3.600000
Thu Oct 17 18:27:53 CST 2024,4.500000
Thu Oct 17 18:27:53 CST 2024,4.800000
Thu Oct 17 18:27:53 CST 2024,5.500000
Thu Oct 17 18:27:53 CST 2024,4.800000
Thu Oct 17 18:27:53 CST 2024,4.800000
Thu Oct 17 18:27:53 CST 2024,3.800000
Thu Oct 17 18:27:53 CST 2024,2.800000
Thu Oct 17 18:27:53 CST 2024,2.200000
Thu Oct 17 18:27:53 CST 2024,2.100000
Thu Oct 17 18:27:54 CST 2024,3.300000
Thu Oct 17 18:27:54 CST 2024,9.500000
Thu Oct 17 18:27:54 CST 2024,10.600000
Thu Oct 17 18:27:54 CST 2024,14.500000
Thu Oct 17 18:27:54 CST 2024,15.900000
Thu Oct 17 18:27:54 CST 2024,17.900000
Thu Oct 17 18:27:54 CST 2024,20.300000
Thu Oct 17 18:27:54 CST 2024,15.100000
Thu Oct 17 18:27:54 CST 2024,3.500000
Thu Oct 17 18:27:54 CST 2024,-4.400000
Thu Oct 17 18:27:55 CST 2024,-8.100000
Thu Oct 17 18:27:55 CST 2024,-10.900000
Thu Oct 17 18:27:55 CST 2024,-12.900000
Thu Oct 17 18:27:55 CST 2024,-11.000000
Thu Oct 17 18:27:55 CST 2024,-1.400000
Thu Oct 17 18:27:55 CST 2024,0.300000
Thu Oct 17 18:27:55 CST 2024,2.300000
Thu Oct 17 18:27:55 CST 2024,9.000000
Thu Oct 17 18:27:55 CST 2024,17.400000
Thu Oct 17 18:27:55 CST 2024,18.900000
Thu Oct 17 18:27:56 CST 2024,24.900000
Thu Oct 17 18:27:56 CST 2024,41.400000
Thu Oct 17 18:27:56 CST 2024,76.600000
Thu Oct 17 18:27:56 CST 2024,96.700000
Thu Oct 17 18:27:56 CST 2024,118.800000
Thu Oct 17 18:27:56 CST 2024,101.800000
Thu Oct 17 18:27:56 CST 2024,26.300000
Thu Oct 17 18:27:56 CST 2024,-5.200000
Thu Oct 17 18:27:56 CST 2024,-19.000000
Thu Oct 17 18:27:56 CST 2024,-26.200000
Thu Oct 17 18:27:57 CST 2024,-29.600000
Thu Oct 17 18:27:57 CST 2024,-2.400000
Thu Oct 17 18:27:57 CST 2024,-0.200000
Thu Oct 17 18:27:57 CST 2024,0.400000
Thu Oct 17 18:27:57 CST 2024,-0.100000
Thu Oct 17 18:27:57 CST 2024,-2.500000
Thu Oct 17 18:27:57 CST 2024,-5.400000
Thu Oct 17 18:27:57 CST 2024,-2.000000
Thu Oct 17 18:27:57 CST 2024,1.200000
Thu Oct 17 18:27:57 CST 2024,2.800000
Thu Oct 17 18:27:58 CST 2024,0.600000
Thu Oct 17 18:27:58 CST 2024,-2.700000
Thu Oct 17 18:27:58 CST 2024,-7.700000
Thu Oct 17 18:27:58 CST 2024,-15.400000
Thu Oct 17 18:27:58 CST 2024,-24.800000
Thu Oct 17 18:27:58 CST 2024,-25.800000
Thu Oct 17 18:27:58 CST 2024,-19.300000
Thu Oct 17 18:27:58 CST 2024,2.700000
Thu Oct 17 18:27:58 CST 2024,10.000000
Thu Oct 17 18:27:58 CST 2024,7.600000
Thu Oct 17 18:27:59 CST 2024,10.600000
Thu Oct 17 18:27:59 CST 2024,10.500000
Thu Oct 17 18:27:59 CST 2024,14.000000
Thu Oct 17 18:27:59 CST 2024,15.700000
Thu Oct 17 18:27:59 CST 2024,17.500000
Thu Oct 17 18:27:59 CST 2024,18.400000
Thu Oct 17 18:27:59 CST 2024,21.100000
Thu Oct 17 18:27:59 CST 2024,30.400000
Thu Oct 17 18:27:59 CST 2024,46.300000
Thu Oct 17 18:27:59 CST 2024,57.200000
Thu Oct 17 18:28:00 CST 2024,45.800000
Thu Oct 17 18:28:00 CST 2024,12.100000
Thu Oct 17 18:28:00 CST 2024,15.700000
Thu Oct 17 18:28:00 CST 2024,27.500000
Thu Oct 17 18:28:00 CST 2024,31.600000
Thu Oct 17 18:28:00 CST 2024,37.100000
Thu Oct 17 18:28:00 CST 2024,38.900000
Thu Oct 17 18:28:00 CST 2024,40.700000
Thu Oct 17 18:28:00 CST 2024,29.500000
Thu Oct 17 18:28:00 CST 2024,3.900000
Thu Oct 17 18:28:01 CST 2024,-9.000000
Thu Oct 17 18:28:01 CST 2024,-17.200000
Thu Oct 17 18:28:01 CST 2024,-26.500000
Thu Oct 17 18:28:01 CST 2024,-37.400000
Thu Oct 17 18:28:01 CST 2024,-46.700000
Thu Oct 17 18:28:01 CST 2024,-46.300000
Thu Oct 17 18:28:01 CST 2024,-37.400000
Thu Oct 17 18:28:01 CST 2024,-17.100000
Thu Oct 17 18:28:01 CST 2024,-1.900000
Thu Oct 17 18:28:01 CST 2024,1.100000
Thu Oct 17 18:28:02 CST 2024,4.400000
Thu Oct 17 18:28:02 CST 2024,8.100000
Thu Oct 17 18:28:02 CST 2024,11.400000
Thu Oct 17 18:28:02 CST 2024,14.500000
